surname,origin
aafarani,arabe
abadi,arabe
abaid,arabe
abaide,arabe
abajian,arabe
abakalian,arabe
abaklian,arabe
abani,arabe
abarah,arabe
abbara,arabe
abbas,arabe
abbdalla,arabe
abberd,arabe
abbes,arabe
abboud,arabe
abbs,arabe
abbud,arabe
abchaab,arabe
abcul,arabe
abd,arabe
abdala,arabe
abdalah,arabe
abdalla,arabe
abdallah,arabe
abdallam,arabe
abdallan,arabe
abdallar,arabe
abdayem,arabe
abddala,arabe
abdel,arabe
abdelmalack,arabe
abdelmassih,arabe
abdelnur,arabe
abder,arabe
abderian,arabe
abdnur,arabe
abdo,arabe
abdon,arabe
abdou,arabe
abdouch,arabe
abdouche,arabe
abdoul,arabe
abdoullah,arabe
abdouni,arabe
abdu-ahad,arabe
abduch,arabe
abdul,arabe
abdul-hak,arabe
abdul-khalek,arabe
abdul-messih,arabe
abdul-nour,arabe
abdul-rahim,arabe
abdulla,arabe
abdullah,arabe
abdullatif,arabe
abduny,arabe
abed,arabe
abedelnor,arabe
abeid,arabe
abess,arabe
abeu,arabe
abi,arabe
abi-haidar,arabe
abi-jaudi,arabe
abiabbaj,arabe
abiad,arabe
abiarraj,arabe
abib,arabe
abibi,arabe
abice,arabe
abid,arabe
abidine,arabe
abido,arabe
abifadel,arabe
abiraad,arabe
abirad,arabe
abisaab,arabe
abissamra,arabe
abite,arabe
abla,arabe
ablbas,arabe
abmuci,arabe
abogdalla,arabe
aborezk,arabe
aboriham,arabe
abou,arabe
abou-chalach,arabe
abou-ghoch,arabe
abou-haider,arabe
abou-issa,arabe
abou-mourad,arabe
abou-mrad,arabe
abou-rejaili,arabe
abou-rizk,arabe
abou-roujaili,arabe
abouaccar,arabe
abouassi,arabe
aboud,arabe
abouhala,arabe
aboujamra,arabe
aboujokh,arabe
aboul,arabe
abouni,arabe
aboussamra,arabe
abouzeid,arabe
abrahamian,arabe
abrahao,arabe
abrahim,arabe
abramovitch,arabe
abrao,arabe
abras,arabe
abs,arabe
abse,arabe
absi,arabe
abssi,arabe
absy,arabe
abu-assaly,arabe
abucarma,arabe
abucerhan,arabe
abuchahin,arabe
abuchalla,arabe
abucham,arabe
abud,arabe
abudib,arabe
abuhab,arabe
abuhamad,arabe
abujamra,arabe
abujaudi,arabe
abukalil,arabe
abul-hiss,arabe
abulhiss,arabe
abumussa,arabe
abunassar,arabe
abunasser,arabe
aburached,arabe
aburad,arabe
aburahal,arabe
abusarquis,arabe
abussamara,arabe
abussamra,arabe
abut,arabe
abutara,arabe
abuzgaib,arabe
acahony,arabe
acarie,arabe
accaoui,arabe
accari,arabe
achar,arabe
achca,arabe
achcar,arabe
achemore,arabe
achi,arabe
achkar,arabe
achmar,arabe
achoa,arabe
achou,arabe
achur,arabe
ackel,arabe
acras,arabe
adad,arabe
adadd,arabe
adaira,arabe
adal,arabe
adanalian,arabe
adas,arabe
adass,arabe
adbi,arabe
addad,arabe
addas,arabe
addini,arabe
addoul,arabe
aded,arabe
adeira,arabe
ader,arabe
adi,arabe
adib,arabe
adile,arabe
adissi,arabe
adjamiam,arabe
adjamian,arabe
adm,arabe
adnan,arabe
ado,arabe
adoui,arabe
adourian,arabe
adre,arabe
adri,arabe
aessemi,arabe
afandi,arabe
afeiche,arabe
